timestamp,egg_id,x1,y1,x2,y2,confidence,class,diameter_px,diameter_mm,size_category,weight_g,grade
2026-07-21T18:36:36.679877,17,1525,3,1920,1067,0.3941,Not Damaged,1064,95.76,Large,80,A
2026-07-21T18:36:36.679955,31,1166,1,1919,1072,0.4497,Damaged,1071,96.39,Large,80,Reject
2026-07-21T18:36:36.765005,17,1527,3,1920,1063,0.4779,Not Damaged,1060,95.4,Large,80,A
2026-07-21T18:36:36.765087,31,1260,1,1918,1069,0.5247,Damaged,1068,96.12,Large,80,Reject
2026-07-21T18:36:36.890854,17,1537,4,1920,1062,0.4647,Not Damaged,1058,95.22,Large,80,A
2026-07-21T18:36:36.890929,31,1324,2,1918,1069,0.5044,Not Damaged,1067,96.03,Large,80,A
2026-07-21T18:36:37.030218,17,1539,4,1920,1063,0.4162,Not Damaged,1059,95.31,Large,80,A
2026-07-21T18:36:37.030308,30,1370,2,1918,1071,0.4424,Not Damaged,1069,96.21,Large,80,A
2026-07-21T18:36:37.030332,32,1116,4,1918,1059,0.4003,Damaged,1055,94.95,Large,80,Reject
2026-07-21T18:36:37.139227,17,1539,3,1920,1064,0.488,Not Damaged,1061,95.49,Large,80,A
2026-07-21T18:36:37.139311,30,1352,1,1919,1072,0.4995,Not Damaged,1071,96.39,Large,80,A
2026-07-21T18:36:37.224214,17,1540,3,1920,1064,0.4515,Not Damaged,1061,95.49,Large,80,A
2026-07-21T18:36:37.224296,32,1188,4,1918,1059,0.4602,Damaged,1055,94.95,Large,80,Reject
2026-07-21T18:36:37.349605,17,1534,6,1920,1061,0.4604,Not Damaged,1055,94.95,Large,80,A
2026-07-21T18:36:37.349703,31,1232,4,1918,1063,0.4383,Damaged,1059,95.31,Large,80,Reject
2026-07-21T18:36:37.473715,17,1528,6,1920,1063,0.4303,Not Damaged,1057,95.13,Large,80,A
2026-07-21T18:36:37.473812,30,1265,4,1918,1067,0.3947,Not Damaged,1063,95.67,Large,80,A
2026-07-21T18:36:37.602439,17,1499,6,1920,1061,0.531,Not Damaged,1055,94.95,Large,80,A
2026-07-21T18:36:37.602520,31,1162,3,1918,1062,0.4518,Not Damaged,1059,95.31,Large,80,A
2026-07-21T18:36:37.729160,17,1450,3,1920,1057,0.5211,Not Damaged,1054,94.86,Large,80,A
2026-07-21T18:36:37.729242,31,1145,0,1918,1055,0.3223,Not Damaged,1055,94.95,Large,80,A
2026-07-21T18:36:37.839790,17,1470,5,1920,1056,0.3869,Not Damaged,1051,94.59,Large,80,A
2026-07-21T18:36:37.915705,17,1444,4,1920,1052,0.4037,Not Damaged,1048,94.32,Large,80,A
2026-07-21T18:36:38.010758,17,1425,5,1920,1058,0.4401,Not Damaged,1053,94.77,Large,80,A
2026-07-21T18:36:38.010842,33,1602,9,1917,1055,0.3094,Not Damaged,1046,94.14,Large,80,A
2026-07-21T18:36:38.094705,17,1495,4,1920,1050,0.5312,Not Damaged,1046,94.14,Large,80,A
2026-07-21T18:36:38.094789,34,0,277,510,1080,0.3247,Not Damaged,803,72.27,Large,80,A
2026-07-21T18:36:38.165494,17,1488,4,1920,1054,0.4934,Not Damaged,1050,94.5,Large,80,A
2026-07-21T18:36:38.249239,17,1522,4,1920,1052,0.3824,Not Damaged,1048,94.32,Large,80,A
2026-07-21T18:36:38.333961,17,1494,4,1920,1058,0.4839,Not Damaged,1054,94.86,Large,80,A
2026-07-21T18:36:38.418215,17,1511,4,1920,1060,0.4731,Not Damaged,1056,95.04,Large,80,A
2026-07-21T18:36:38.501501,17,1517,2,1920,1070,0.6123,Not Damaged,1068,96.12,Large,80,A
2026-07-21T18:36:38.584422,17,1471,4,1920,1066,0.7553,Not Damaged,1062,95.58,Large,80,A
2026-07-21T18:36:38.681734,17,1477,7,1920,1058,0.3422,Not Damaged,1051,94.59,Large,80,A
2026-07-21T18:36:38.681807,30,1293,6,1919,1071,0.5397,Not Damaged,1065,95.85,Large,80,A
2026-07-21T18:36:38.793571,30,1373,0,1920,1071,0.3809,Not Damaged,1071,96.39,Large,80,A
2026-07-21T18:36:38.876626,17,1405,4,1920,1070,0.5233,Not Damaged,1066,95.94,Large,80,A
2026-07-21T18:36:38.982230,17,1469,8,1920,1061,0.4179,Not Damaged,1053,94.77,Large,80,A
2026-07-21T18:36:38.982306,35,330,5,835,706,0.4892,Not Damaged,701,63.09,Large,80,A
2026-07-21T18:36:38.982330,36,179,6,788,705,0.4245,Not Damaged,699,62.91,Large,80,A
2026-07-21T18:36:39.097251,17,1460,4,1920,1064,0.3979,Not Damaged,1060,95.4,Large,80,A
2026-07-21T18:36:39.097349,35,428,6,768,708,0.3549,Not Damaged,702,63.18,Large,80,A
2026-07-21T18:36:39.208898,17,1443,4,1920,1073,0.5121,Not Damaged,1069,96.21,Large,80,A
2026-07-21T18:36:39.305840,17,1414,4,1920,1061,0.5196,Not Damaged,1057,95.13,Large,80,A
2026-07-21T18:36:39.305928,31,1128,3,1920,1066,0.3136,Not Damaged,1063,95.67,Large,80,A
2026-07-21T18:36:39.394153,31,1109,0,1920,1057,0.3406,Damaged,1057,95.13,Large,80,Reject
2026-07-21T18:36:39.394234,37,1064,0,1920,1052,0.5186,Damaged,1052,94.68,Large,80,Reject
2026-07-21T18:36:39.500915,31,1040,2,1920,1063,0.4958,Not Damaged,1061,95.49,Large,80,A
2026-07-21T18:36:39.613507,31,1087,2,1920,1069,0.3388,Damaged,1067,96.03,Large,80,Reject
2026-07-21T18:36:39.613592,32,1167,2,1920,1074,0.3843,Not Damaged,1072,96.48,Large,80,A
2026-07-21T18:36:39.613616,34,1,191,557,1079,0.3359,Not Damaged,888,79.92,Large,80,A
2026-07-21T18:36:39.734921,17,1410,0,1920,1060,0.3582,Not Damaged,1060,95.4,Large,80,A
2026-07-21T18:36:39.735008,31,1118,0,1919,1065,0.4788,Damaged,1065,95.85,Large,80,Reject
2026-07-21T18:36:39.735032,34,1,266,590,1079,0.316,Not Damaged,813,73.17,Large,80,A
2026-07-21T18:36:39.859138,17,1415,0,1920,1058,0.3096,Not Damaged,1058,95.22,Large,80,A
2026-07-21T18:36:39.859258,31,1164,0,1919,1062,0.4231,Damaged,1062,95.58,Large,80,Reject
2026-07-21T18:36:39.859284,34,1,264,608,1075,0.3596,Not Damaged,811,72.99,Large,80,A
2026-07-21T18:36:39.972914,31,1133,0,1918,1067,0.4756,Damaged,1067,96.03,Large,80,Reject
2026-07-21T18:36:39.973006,38,1,257,495,1076,0.5029,Not Damaged,819,73.71,Large,80,A
2026-07-21T18:36:40.095826,31,1065,2,1917,1067,0.4354,Damaged,1065,95.85,Large,80,Reject
2026-07-21T18:36:40.095924,34,2,251,565,1077,0.6456,Not Damaged,826,74.34,Large,80,A
2026-07-21T18:36:40.181570,31,1083,2,1917,1071,0.4483,Damaged,1069,96.21,Large,80,Reject
2026-07-21T18:36:40.181664,34,2,250,583,1077,0.5898,Not Damaged,827,74.43,Large,80,A
2026-07-21T18:36:40.326867,31,1090,0,1920,1063,0.359,Damaged,1063,95.67,Large,80,Reject
2026-07-21T18:36:40.326948,32,1129,0,1919,1069,0.381,Not Damaged,1069,96.21,Large,80,A
2026-07-21T18:36:40.326971,34,2,246,540,1077,0.6192,Not Damaged,831,74.79,Large,80,A
2026-07-21T18:36:40.431885,31,1151,1,1919,1068,0.4288,Not Damaged,1067,96.03,Large,80,A
2026-07-21T18:36:40.431997,34,2,243,525,1078,0.6458,Not Damaged,835,75.15,Large,80,A
2026-07-21T18:36:40.554562,34,2,237,517,1078,0.627,Not Damaged,841,75.69,Large,80,A
2026-07-21T18:36:40.554674,39,1268,0,1920,1065,0.4598,Not Damaged,1065,95.85,Large,80,A
2026-07-21T18:36:40.653382,31,1207,0,1920,1070,0.4183,Not Damaged,1070,96.3,Large,80,A
2026-07-21T18:36:40.653491,32,1073,1,1920,1063,0.3329,Damaged,1062,95.58,Large,80,Reject
2026-07-21T18:36:40.653516,34,2,238,509,1079,0.6301,Not Damaged,841,75.69,Large,80,A
2026-07-21T18:36:40.778144,30,1299,0,1920,1073,0.349,Not Damaged,1073,96.57,Large,80,A
2026-07-21T18:36:40.778233,32,1037,0,1920,1070,0.3796,Damaged,1070,96.3,Large,80,Reject
2026-07-21T18:36:40.778257,34,2,236,527,1080,0.6146,Not Damaged,844,75.96,Large,80,A
2026-07-21T18:36:40.903191,30,1289,1,1920,1074,0.3367,Not Damaged,1073,96.57,Large,80,A
2026-07-21T18:36:40.903278,32,1029,2,1920,1071,0.497,Damaged,1069,96.21,Large,80,Reject
2026-07-21T18:36:40.903360,34,1,210,557,1078,0.4402,Not Damaged,868,78.12,Large,80,A
2026-07-21T18:36:41.028518,31,1149,2,1920,1064,0.3827,Not Damaged,1062,95.58,Large,80,A
2026-07-21T18:36:41.028601,32,1030,1,1920,1053,0.4977,Damaged,1052,94.68,Large,80,Reject
2026-07-21T18:36:41.028625,34,0,193,474,1080,0.4248,Not Damaged,887,79.83,Large,80,A
2026-07-21T18:36:41.140271,31,1122,0,1920,1080,0.3869,Not Damaged,1080,97.2,Large,80,A
2026-07-21T18:36:41.140358,32,1083,0,1920,1076,0.4462,Not Damaged,1076,96.84,Large,80,A
2026-07-21T18:36:41.244162,30,1232,1,1920,1067,0.4429,Not Damaged,1066,95.94,Large,80,A
2026-07-21T18:36:41.244249,31,1130,2,1920,1065,0.3683,Not Damaged,1063,95.67,Large,80,A
2026-07-21T18:36:41.244274,40,0,143,952,1080,0.3493,Damaged,952,85.68,Large,80,Reject
2026-07-21T18:36:41.348706,30,1251,3,1920,1069,0.3802,Not Damaged,1066,95.94,Large,80,A
2026-07-21T18:36:41.348804,31,1065,2,1920,1068,0.4141,Not Damaged,1066,95.94,Large,80,A
2026-07-21T18:36:41.448728,30,1308,3,1920,1067,0.4468,Not Damaged,1064,95.76,Large,80,A
2026-07-21T18:36:41.448810,32,1169,3,1920,1064,0.4006,Not Damaged,1061,95.49,Large,80,A
2026-07-21T18:36:41.448835,41,2,47,511,1080,0.3591,Not Damaged,1033,92.97,Large,80,A
2026-07-21T18:36:41.577945,17,1317,2,1920,1060,0.4368,Not Damaged,1058,95.22,Large,80,A
2026-07-21T18:36:41.578028,30,1288,3,1920,1053,0.3895,Not Damaged,1050,94.5,Large,80,A
2026-07-21T18:36:41.578051,42,2,146,598,1080,0.5558,Not Damaged,934,84.06,Large,80,A
2026-07-21T18:36:41.692435,17,1328,2,1920,1060,0.4062,Not Damaged,1058,95.22,Large,80,A
2026-07-21T18:36:41.692519,30,1275,3,1920,1054,0.4276,Not Damaged,1051,94.59,Large,80,A
2026-07-21T18:36:41.692544,34,1,146,525,1080,0.318,Not Damaged,934,84.06,Large,80,A
2026-07-21T18:36:41.817209,17,1333,2,1920,1060,0.4102,Not Damaged,1058,95.22,Large,80,A
2026-07-21T18:36:41.817305,30,1295,2,1920,1056,0.4008,Not Damaged,1054,94.86,Large,80,A
2026-07-21T18:36:41.817330,34,1,146,528,1080,0.4002,Not Damaged,934,84.06,Large,80,A
